source_code,source_display,translated_text,back_sim,cand1_code,cand1_label,cand1_score,cand2_code,cand2_label,cand2_score,cand3_code,cand3_label,cand3_score,cand4_code,cand4_label,cand4_score,cand5_code,cand5_label,cand5_score,suggested_relationship,final_score,curator_id,comment
AAB-3 (SP9Y),a~ggamardaH (kEvalavAta),a  gamma  h ( kEvalavAta ),85.96,XN5BQ,Brazil SARS-CoV-2 variant (Gamma) (deprecated),67.06,XH0HS7,T-gamma lymphoproliferative disease,66.64,XH1EA7,Gamma heavy chain disease,54.88,2A84.1,Gamma heavy chain disease,54.88,XM6Z81,Gamma globulin,50.4,review,67.06,,
AAB-47,dantaBedaH (kEvalavAta),dantaBedaH ( kEvalavAta ),100.0,XE4YS,Ant,63.54,,,,,,,,,,,,,review,63.54,,
AAC-1(SK30),antarAyAmaH,antarAyAmaH,100.0,XE4YS,Ant,72.11,XM4C94,Tar,68.43,,,,,,,,,,related-to,72.11,,
AAC-13.1(SK30),asAdhyadhanuShkaMpa,asAdhyadhanuShkaMpa,100.0,XA0D34,Anus,63.38,,,,,,,,,,,,,review,63.38,,
AAC-2(SK30),apatantrakaH,apatantrakaH,100.0,XE4YS,Ant,67.28,,,,,,,,,,,,,review,67.28,,
AAC-40(SK5Y),hanugrahaH/hanusraMsa,hanugrahaH / hanusraMsa,100.0,XA0D34,Anus,64.32,,,,,,,,,,,,,review,64.32,,
ABB-6(SM7Y),antardAhaH (kEvalapitta),antardAhaH ( kEvalapitta ),100.0,XE4YS,Ant,64.87,XM4C94,Tar,60.92,,,,,,,,,,review,64.87,,
ABC-2,mAMsasthitakaPakopaH,mAMsasthitakaPakopaH. the disorder is characterized by mā ́ śavakōthanam [ putrifaction of mā ́ śa / muscle tissue ].,97.95,XA39T1,Muscle tissue,72.43,,,,,,,,,,,,,related-to,72.43,,
EA-4.5.2(SL40),santamakaSvAsaH,santamakaSvAsaH,100.0,XE4YS,Ant,66.83,,,,,,,,,,,,,review,66.83,,
EB-13,antardAhaH,antardAhaH,100.0,XE4YS,Ant,73.39,XM4C94,Tar,69.76,,,,,,,,,,related-to,73.39,,
EB-6.6,Agantuja-CardiH,Agantuja-CardiH,100.0,XE4YS,Ant,67.37,,,,,,,,,,,,,review,67.37,,
EC-3.10.5.1(SP57),vAtajacaturthakajvaraH,vAtajacaturthakajvaraH,100.0,XE4V0,Cat,60.92,,,,,,,,,,,,,review,60.92,,
EC-3.10.5.2,pittajacaturthakajvaraH,pittajacaturthakajvaraH,100.0,XE4V0,Cat,60.56,,,,,,,,,,,,,review,60.56,,
EC-3.10.5.3(SP57),kaPajacaturthakajvaraH,kaPajacaturthakajvaraH,100.0,XE4V0,Cat,60.92,,,,,,,,,,,,,review,60.92,,
EC-3.13,pacyamAnajvaraH,PacyamAnajvaraH. the disorder is characterized by jvaravēgādhikyam [ high grade fever,92.62,XH24N6,High grade serous carcinoma,68.71,2E67.5,High grade prostatic intraepithelial neoplasia characterised by the presence of severe architectural and cytologic abnormalities.,67.94,XH3EA2,"Squamous dysplasia, high grade",67.21,XH2WM7,"High grade B-cell lymphoma, NOS",66.87,XH6TL0,High grade surface osteosarcoma,66.55,review,68.71,,
EC-3.18,antarASrayajvaraH,antarASrayajvaraH,100.0,XE4YS,Ant,67.16,XM4C94,Tar,63.29,,,,,,,,,,review,67.16,,
EC-3.8.18,antaka-sannipAtajvaraH,antaka-sannipAtajvaraH,100.0,XE4YS,Ant,64.87,,,,,,,,,,,,,review,64.87,,
EC-6.1,vAtika-AmavAtaH,vAtika-AmavAtaH. the disorder is characterized by saśūlam [ associated with pain ].,99.43,MG30.31,"Chronic secondary musculoskeletal pain associated with structural changes is chronic pain of unknown mechanism(s) that is attributable to anatomical changes in joint(s), bone(s) or tendon(s). The structural change needs to be inferred from clinical examination and/or demonstrable on imaging. The pain may be spontaneous or movement-induced. It is characterised by clinical features such as swelling, allodynia or restricted movement.

Diagnostic Criteria:

Conditions A to D are fulfilled:

A) Chronic pain (persistent or recurrent for longer than 3 months) in joint(s), bone(s), or tendon(s) is present. The pain may be spontaneous or movement induced.

B) At least one of the following fulfilled:
B1) Swelling is present.
B2) Allodynia over the part is present.

C) The structural change is inferred from clinical examination or imaging. 

D) The pain is not better accounted for by another diagnosis of chronic pain.",55.94,,,,,,,,,,,,,review,55.94,,
ED-10.2,antarASraya-visarpaH,antarASraya-visarpaH,100.0,XE4YS,Ant,65.66,XM4C94,Tar,61.74,,,,,,,,,,review,65.66,,
ED-11.3,bahirAntara-Pira~ggaH,bahirAntara-Pira raggaH,95.83,XE4YS,Ant,62.78,XM4C94,Tar,60.56,,,,,,,,,,review,62.78,,
ED-4.3.9(SN5Y),SatAru-kuShThaH,SatAru-kuShThaH,100.0,XM4C94,Tar,64.61,,,,,,,,,,,,,review,64.61,,
ED-8(SP11),vAtaraktam,vAtaraktam,100.0,XM4C94,Tar,69.76,,,,,,,,,,,,,review,69.76,,
ED-8.4,uBayajavAtarakta,uBayajavAtarakta,100.0,XM4C94,Tar,60.86,,,,,,,,,,,,,review,60.86,,
ED-8.5,doShajavAtaraktam,doShajavAtaraktam,100.0,XM4C94,Tar,60.28,,,,,,,,,,,,,review,60.28,,
ED-8.5.1(SP11),vAtajavAtaraktam,vAtajavAtaraktam,100.0,XM4C94,Tar,60.16,,,,,,,,,,,,,review,60.16,,
ED-8.5.5,dvidoShaja-vAtaraktam,dvidoShaja-vAtaraktam,100.0,XM4C94,Tar,58.46,,,,,,,,,,,,,review,58.46,,
ED-8.5.6,tridoShajavAtaraktam,tridoShajavAtaraktam,100.0,XM4C94,Tar,61.74,,,,,,,,,,,,,review,61.74,,
ED-8.6,kRucCrasAdhya-vAtaraktam,kRucCrasAdhya-vAtaraktam,100.0,XM4C94,Tar,56.61,,,,,,,,,,,,,review,56.61,,
ED-8.8,vAtarakta-upadravaH,vAtarakta-upadravaH,100.0,XM4C94,Tar,62.21,,,,,,,,,,,,,review,62.21,,
ED-8.9,vAtarakta-ariShTaH,vAtarakta-ariShTaH,100.0,XM4C94,Tar,62.72,,,,,,,,,,,,,review,62.72,,
EE-3.11,uttarakAlaja-arSaH,uttarakAlaja-arSaH,100.0,XM4C94,Tar,64.94,,,,,,,,,,,,,review,64.94,,
