source_code,source_display,translated_text,back_sim,cand1_code,cand1_label,cand1_score,cand2_code,cand2_label,cand2_score,cand3_code,cand3_label,cand3_score,cand4_code,cand4_label,cand4_score,cand5_code,cand5_label,cand5_score,suggested_relationship,final_score,curator_id,comment
A,Vaḷarcitai Māṟṟa Nōykaḷ,Vaarcitai Māa Nōyka. metabolic disorders,94.0,8A04.30,Involuntary oscillation of a body part due to metabolic disorders.,74.6,8B93.1,Radiculopathy due to metabolic disorders,66.46,,,,,,,,,,related-to,74.6,,
ABB1.1,Aẕal Mañcaḷ Nōy,A Himalayan Maunca Ny.Jaundice caused by increased azhal,86.94,9C61.2B,Glaucoma caused by increased episcleral venous pressure,57.18,,,,,,,,,,,,,review,57.18,,
BA,Akki,Akki.Herpes zooster,100.0,1F00.01,HSV - [herpes simplex virus] labialis,68.17,1F00.10,HSV - [herpes simplex virus] keratitis,67.88,1F00.02,HSV - [herpes simplex virus] gingivostomatitis,67.81,1F00.20,HSV - [herpes simplex virus] meningitis,67.44,SB7A,Herpes zoster around the waist and hypochondrium disorder (TM1),66.63,review,66.63,,
BA,Akki,Akki.Herpes zooster,100.0,1F00.01,HSV - [herpes simplex virus] labialis,68.17,1F00.10,HSV - [herpes simplex virus] keratitis,67.88,1F00.02,HSV - [herpes simplex virus] gingivostomatitis,67.81,1F00.20,HSV - [herpes simplex virus] meningitis,67.44,SB7A,Herpes zoster around the waist and hypochondrium disorder (TM1),66.63,review,68.17,,
BAA1.1,Akki,Akki.Herpes zooster,100.0,1F00.01,HSV - [herpes simplex virus] labialis,68.17,1F00.10,HSV - [herpes simplex virus] keratitis,67.88,1F00.02,HSV - [herpes simplex virus] gingivostomatitis,67.81,1F00.20,HSV - [herpes simplex virus] meningitis,67.44,SB7A,Herpes zoster around the waist and hypochondrium disorder (TM1),66.63,review,66.63,,
BAA1.1,Akki,Akki.Herpes zooster,100.0,1F00.01,HSV - [herpes simplex virus] labialis,68.17,1F00.10,HSV - [herpes simplex virus] keratitis,67.88,1F00.02,HSV - [herpes simplex virus] gingivostomatitis,67.81,1F00.20,HSV - [herpes simplex virus] meningitis,67.44,SB7A,Herpes zoster around the waist and hypochondrium disorder (TM1),66.63,review,68.17,,
BCA,Vaḷi,Vai.Rougheness of skin classified under vali,93.87,EH94,Scarring of skin due to burn,68.52,,,,,,,,,,,,,review,68.52,,
BF,Karappāṉ,Karappā ku. eczema,89.03,EA80.2,"Adult atopic eczema, flexural",69.95,EA80.1,Flexural atopic eczema of the child,67.9,EA80.0,Infected atopic eczema of the infant,67.33,EA88.2,Disseminated secondary eczema,66.96,9A06.7,Dermatitis or eczema of eyelids,66.81,review,69.95,,
BFA1.1,Kapāla Karuṅkarappaṉ,Kapala KaruKarappa.Hyperpigmentation of skin in the scalp,97.29,EG30,Skin disorders localised to the scalp,69.82,,,,,,,,,,,,,review,69.82,,
BFA1.5,Vaṟaṭcikkarappāṉ,Va ́ aa ́ cikkara ̄ p ̄ a ̄ | Eczema with dry skin,87.5,SB73,Dry skin disorder (TM1),67.59,,,,,,,,,,,,,review,67.59,,
BFA1.5,Vaṟaṭcikkarappāṉ,Va ́ aa ́ cikkara ̄ p ̄ a ̄ | Eczema with dry skin,87.5,SB73,Dry skin disorder (TM1),67.59,,,,,,,,,,,,,review,67.59,,
BFA1.6,Vātak Karappāṉ,Vatak Karappā.Eczema caused by increased vali,98.15,9C61.2B,Glaucoma caused by increased episcleral venous pressure,59.89,,,,,,,,,,,,,review,59.89,,
BFB1.4,Pittak Karappāṉ,Pittak Karappā.Eczema caused by increased azhal,98.22,9C61.2B,Glaucoma caused by increased episcleral venous pressure,57.43,,,,,,,,,,,,,review,57.43,,
BFC1.3,Cilēttumakkarappāṉ,Cilēttumakkarappā | Eczema caused by increased aiyyam,96.57,9C61.2B,Glaucoma caused by increased episcleral venous pressure,56.78,,,,,,,,,,,,,review,56.78,,
BGB1.7,Iraippaikkaṭṭi,Iraippaikkatti. abcess in the stomach,100.0,XA7MC7,Stomach,83.36,ND73.2,Foreign body in stomach,71.04,DA41.1,acute stomach dilatation,70.35,XA1C53,Veins of stomach,69.8,DA43.1,Small vascular malformation of the stomach. Most lesions are less than 10mm in size and often observed in multiple sites. It can be a source of gastrointestinal bleeding and anaemia.,68.95,review,51.77,,
BH,Koppuḷam,Koppuam.Boils,95.83,XM6DL1,Oil,63.03,,,,,,,,,,,,,review,63.03,,
BIA,Vaḷi,Vai.Skin lesion classified under vali,96.95,ME60.1,This denotes the presence of a pigmented skin lesion but uncertainty as to its nature. No inference as to whether the lesion might be of serious significance (e.g. suspected skin cancer) is made.,65.56,ME60,To be used where there is either significant uncertainty or alternatively no information as to the nature of a circumscribed skin lesion. This is of particular importance with regard to whether or not the lesion may be malignant.,65.47,ME60.0,This denotes the presence of a skin lesion but uncertainty as to its nature. No inference as to whether the lesion might be of serious significance (e.g. suspected skin cancer) is made.,65.32,EH94,Traumatic scar of skin,64.47,,,,review,65.56,,
BIA1.1,Kapāla Karuṅkuṭṭam,Kapāla Karukuṭṭam.Hyperpigmentation of skin in the scalp,98.01,EG30,Skin disorders localised to the scalp,69.88,,,,,,,,,,,,,review,69.88,,
BIA1.9,Cevi Ceṅkuṭṭam,Cevi Cekuṭṭam.Inflammatory skin lesion in the ear,97.81,ME60.0,Skin lesion of uncertain nature,70.49,ME60.1,This denotes the presence of a pigmented skin lesion but uncertainty as to its nature. No inference as to whether the lesion might be of serious significance (e.g. suspected skin cancer) is made.,66.43,ME60,To be used where there is either significant uncertainty or alternatively no information as to the nature of a circumscribed skin lesion. This is of particular importance with regard to whether or not the lesion may be malignant.,66.06,,,,,,,related-to,70.49,,
BJ,Maccam,Maccam.Mole,100.0,XH8CX2,"Hydatidiform mole, NOS",68.37,XH46G2,"Invasive mole, NOS",67.58,JA02.0,Complete hydatidiform mole,66.99,XH5325,Partial hydatidiform mole,66.84,,,,review,68.37,,
BJA1.1,Maccam,Maccam.Mole,100.0,XH8CX2,"Hydatidiform mole, NOS",68.37,XH46G2,"Invasive mole, NOS",67.58,JA02.0,Complete hydatidiform mole,66.99,XH5325,Partial hydatidiform mole,66.84,,,,review,68.37,,
BK,Maruḷ,Maru. wart,95.39,SB75,Wart disorder (TM1),70.14,,,,,,,,,,,,,related-to,70.14,,
BK,Maruḷ,Maru. wart,95.39,SB75,Wart disorder (TM1),70.14,,,,,,,,,,,,,related-to,70.14,,
BKA1.1,Maruḷ,Maru. wart,95.39,SB75,Wart disorder (TM1),70.14,,,,,,,,,,,,,related-to,70.14,,
