source_code,source_display,translated_text,back_sim,cand1_code,cand1_label,cand1_score,cand2_code,cand2_label,cand2_score,cand3_code,cand3_label,cand3_score,cand4_code,cand4_label,cand4_score,cand5_code,cand5_label,cand5_score,suggested_relationship,final_score,curator_id,comment
1,0,0.Innate humor,96.97,XA4HU2,Vitreous humor,65.93,,,,,,,,,,,,,review,65.93,,
100,99,99.Repletive spasm,100.0,MB47.3,spasm,83.87,8B88.2,Bell spasm,75.1,DB72.0,Anal spasm,73.83,CA0H.4,Glottic spasm,58.84,9C83.4,Spasm of the near reflex,58.41,review,50.42,,
1001,1000,1000.Diarrhoeal ephemeral fever,100.0,ME05.1,Diarrhoea,71.52,,,,,,,,,,,,,related-to,71.52,,
1003,1002,Syncope ephemeral fever,93.95,MG26,ephemeral fever,90.51,1C33,Q fever,77.61,MG45,Heat syncope,76.05,NF01.1,Heat syncope,76.05,MG45.0,heart syncope,74.34,review,64.85,,
101,100,100.Dry spasm,100.0,MB47.3,spasm,84.01,9D01.2,ciliary muscle spasm,70.72,8B88.2,myoclonus facial spasm,68.61,9C83.4,Spasm of the near reflex,68.41,SC60,Muscle spasm disorder (TM1),67.49,review,67.49,,
103,102,102.Infantile spasm,100.0,8A62.0,IS -[infantile spasm],87.28,MB47.3,Infantile spasms,84.53,ED80.6,Infantile acne,73.58,XH7M44,Desmoplastic infantile astrocytoma,73.48,XH6TQ7,Desmoplastic infantile ganglioglioma,73.3,related-to,71.89,,
1030,1029,1029. high grade bilious fever,100.0,BC63.10,High-grade second degree atrioventricular block,68.45,2E67.5,High grade intraepithelial lesion of prostate,68.38,2E67.22,High grade squamous intraepithelial lesion of vagina,68.35,XH5161,"Flat intraepithelial glandular neoplasia, high grade",68.12,XH28N7,"Glandular intraepithelial neoplasia, high grade",67.59,review,68.45,,
1049,1048,1048.Fever with syncope,100.0,MG26,fever,90.28,1C33,Q fever,81.76,8D89.0,Reflex syncope,76.56,MG45.0,heart syncope,75.44,1D61.2,Lassa fever,72.39,review,66.69,,
105,104,104.Facial spasm,100.0,MB47.3,spasm,83.92,8B88.2,facial spasm NEC,81.07,6B60.84,functional facial spasm,79.93,DB72.0,Anal spasm,78.38,SD00,Facial paralysis disorder (TM1),69.56,review,69.56,,
1053,1052,1052.Small pox,100.0,XH4EZ4,Small cell osteosarcoma,68.02,EA95,Small plaque parapsoriasis,67.93,MC20.1,Small drusen of the macula,67.76,DA97.3,The dilation of venous plexus in the small intestine.,67.52,DA97.0,Angiodysplasia of small intestine,67.44,review,68.02,,
