source_system,source_code,target_system,target_code,mapping_type,confidence,source_display,target_display,src_lang,translated_text,backtranslation_similarity
NAMASTE-Siddha,AB,ICD-11 Traditional Medicine Module 2,SA01,related-to,80.9,Mañcaḷ Nōy,Yin jaundice,hin_Deva,Mañca Noy. Jaundice,97.63
NAMASTE-Siddha,DDB1.2,ICD-11 Traditional Medicine Module 2,SC91,related-to,75.03,Kuruti Mūkkaṭaippu,Nasal sinusitis disorder (TM1),hin_Deva,Kuruti Mūkkaṭaippu.Sinusitis associated with nasal bleeding,100.0
NAMASTE-Siddha,DIS,ICD-11 Traditional Medicine Module 2,SB96,related-to,93.44,Disorder,Dysmenorrhea disorder (TM1),hin_Deva,Disorder.Disorder,100.0
NAMASTE-Siddha,TC,ICD-11 Traditional Medicine Module 2,SA01,related-to,79.74,Kāmālai,Yin jaundice,hin_Deva,Kāmālai.Jaundice of children,100.0
NAMASTE-Siddha,TDC1.5,ICD-11 Traditional Medicine Module 2,SB06,related-to,81.75,Ūtu Kaṇam,Edema disorders (TM1),hin_Deva,Respiratory disorders with oedema,93.04
NAMASTE-Siddha,AA,ICD-11 MMS 2024-01 Biomedicine,DB91,related-to,76.33,Kallīral Nōy,Non-alcoholic fatty liver disease with hepatic encephalopathy,hin_Deva,Kalliral Ny. hepatic disease,98.4
NAMASTE-Siddha,AB,ICD-11 MMS 2024-01 Biomedicine,ME10.1,related-to,85.78,Mañcaḷ Nōy,jaundice,hin_Deva,Mañca Noy. Jaundice,97.63
NAMASTE-Siddha,ABB1.4,ICD-11 MMS 2024-01 Biomedicine,9D90.6,related-to,86.09,Vaṟaṭṭu Mañcaḷ Nōy,Blindness,hin_Deva,Vaaṭṭu mañca Noy.Jaundice with gait disturbances and night blindness,96.74
NAMASTE-Siddha,AC,ICD-11 MMS 2024-01 Biomedicine,XA7FU9,related-to,84.02,Maṇṇīral Nōy,Spleen,hin_Deva,Maṇṇīral Nōy.Spleen disease,100.0
NAMASTE-Siddha,ACA,ICD-11 MMS 2024-01 Biomedicine,XA7FU9,related-to,89.68,Vaḷi,Spleen,hin_Deva,Vai.Spleen disease classified under vali humour,97.49
NAMASTE-Siddha,ACC1.1,ICD-11 MMS 2024-01 Biomedicine,XT5G,related-to,85.83,Aiya Maṇṇīral Nōy,Intermittent,hin_Deva,Aiya Maṇṇīral Nōy.Spleenomegaly due to aiyam with intermittent fever,100.0
NAMASTE-Siddha,ADA1.1,ICD-11 MMS 2024-01 Biomedicine,XS25,related-to,87.52,Vaḷi Nīr Vēṭkai Nōy,Severe,hin_Deva,Vai Nir Vetkai Noy. severe thirst due to vali,99.38
NAMASTE-Siddha,ADC1.2,ICD-11 MMS 2024-01 Biomedicine,MD92,related-to,83.94,Ceriyā Nīr Vēṭkai Nōy,Dyspepsia,hin_Deva,Ceriyā Nīr Vēṭkai Nōy.Thirst due to dyspepsia.,99.01
NAMASTE-Siddha,AEA1.1,ICD-11 MMS 2024-01 Biomedicine,ME64.2,related-to,84.7,Vaḷi Ūtal Nōy,Pallor,hin_Deva,Vai नात्तल नय.Oedema due to vali with pallor,87.63
NAMASTE-Siddha,AEC1.1,ICD-11 MMS 2024-01 Biomedicine,ME05.1,related-to,85.04,Aiya Ūtal Nōy,Diarrhoea,hin_Deva,Aiya नात्तल नय.Oedema due to aiyam with cholera like diarrhoea,92.55
NAMASTE-Siddha,B,ICD-11 MMS 2024-01 Biomedicine,XA0364,related-to,86.61,Tōl Nōykaḷ,Skin,hin_Deva,Tōl nyika. skin disorders,93.75
NAMASTE-Siddha,BB,ICD-11 MMS 2024-01 Biomedicine,XA17J1,related-to,85.63,Akkuḷ Ericcal Kaṭṭi,Axilla,hin_Deva,Akku Erikkal Kaṭṭi. abcess in the axilla,93.67
NAMASTE-Siddha,BBB1.2,ICD-11 MMS 2024-01 Biomedicine,XA17J1,related-to,83.92,Akkuḷ Kaṭṭi,Axilla,hin_Deva,Akku Kaṭṭi | Abcess in the axilla,98.61
NAMASTE-Siddha,BD,ICD-11 MMS 2024-01 Biomedicine,EA90,related-to,84.49,Kāḷañcakappaṭai,Psoriasis,hin_Deva,Kā ́ aañcakappaṭai.Psoriasis,93.57
NAMASTE-Siddha,BDB,ICD-11 MMS 2024-01 Biomedicine,EA90,related-to,88.15,Aẕal,Psoriasis,hin_Deva,Atypal.Psoriasis classified under azhal,94.83
NAMASTE-Siddha,BDB1.1,ICD-11 MMS 2024-01 Biomedicine,EA90,related-to,84.49,Kāḷañcakappaṭai,Psoriasis,hin_Deva,Kā ́ aañcakappaṭai.Psoriasis,93.57
NAMASTE-Siddha,BFA1.3,ICD-11 MMS 2024-01 Biomedicine,ME82,related-to,83.79,Timirvātak Karappāṉ,joint pain,hin_Deva,Timirvataka Karappā. eczema with joint pain,97.42
NAMASTE-Siddha,BGB1.2,ICD-11 MMS 2024-01 Biomedicine,XA6RS6,related-to,78.14,Mūttiranāḷakkaṭṭi,Upper urinary tract,hin_Deva,Mūttirānā ūakkāṭṭi. abcess in the urinary tract,95.74
