source_system,source_code,target_system,target_code,mapping_type,confidence,source_display,target_display,src_lang,translated_text,backtranslation_similarity
NAMASTE-Ayurveda,PE-3.1,ICD-11 Traditional Medicine Module 2,SC62,related-to,80.19,alarkaviShaH/jalatrAsaH,Numbness disorder (TM1),hin_Deva,The disorder is characterized by suptaḥ [ numbness,86.9
NAMASTE-Ayurveda,BI-16,ICD-11 MMS 2024-01 Biomedicine,MD90.1,related-to,85.58,yakShmajajvaraH,Vomiting,hin_Deva,yakShmajvaraH. the disorder is characterized by chardiḥ [ vomiting,82.32
NAMASTE-Ayurveda,EC-2.7,ICD-11 MMS 2024-01 Biomedicine,MB48,related-to,79.26,hRudroga-upadravaH,Dizziness and giddiness,hin_Deva,hRudroga-upadravaH. the disorder is characterized by bhramaḥ [ giddiness or dizziness,93.15
NAMASTE-Ayurveda,ED-2.20,ICD-11 MMS 2024-01 Biomedicine,XE4YS,related-to,75.42,santApaH,Ant,hin_Deva,santApaH,100.0
NAMASTE-Ayurveda,EJ-4.6,ICD-11 MMS 2024-01 Biomedicine,ME01,related-to,85.59,purISharodhajamUtrakRucCram,Abdominal distension,hin_Deva,purISharodhajamUtrakRucCram. the disorder is characterized by ādhmānam [ abdominal distension  vātaśūlaḥ / śūlaḥ ],89.97
NAMASTE-Ayurveda,EJ-4.7,ICD-11 MMS 2024-01 Biomedicine,MC86,related-to,84.84,SarkarAjamUtrakRucCram,Precordial pain,hin_Deva,SarkarAjamUtrakRucCram.the disorder is characterized by hrtp ḍā [ precordial pain / cardiac pain  vēpāthuḥ ] [ shivering / tremors,90.98
NAMASTE-Ayurveda,EM-5.8,ICD-11 MMS 2024-01 Biomedicine,ME01,related-to,86.83,pAnAjIrNam,Abdominal distension,hin_Deva,The disorder is characterized by ādhmāna [ abdominal distension āmlōdgāra ] sour belching / malactation ā vidāhaḥ [ internal burning sensation ].,88.3
NAMASTE-Ayurveda,GE-9,ICD-11 MMS 2024-01 Biomedicine,XA1LF4,related-to,81.83,tAluSoShaH,Talus,hin_Deva,tAluSoShaH,100.0
NAMASTE-Ayurveda,HG-3.9.6,ICD-11 MMS 2024-01 Biomedicine,XE4V0,related-to,78.83,CatrakI,Cat,hin_Deva,CatrakI,100.0
NAMASTE-Ayurveda,LB-2,ICD-11 MMS 2024-01 Biomedicine,XS2E,related-to,86.28,snehadagdhaH,Severe pain,hin_Deva,SnehadagdhaH. the disorder is characterized by adhika ruj [ severe pain ],99.06
NAMASTE-Ayurveda,LD-2.1,ICD-11 MMS 2024-01 Biomedicine,MH12.0,related-to,85.97,guda-marmaviddhaH,Instantaneous death,hin_Deva,guda-marmaviddhaH. the disorder is characterized by sadyomaraṇam [ instantaneous death ],98.05
NAMASTE-Ayurveda,LD-2.3,ICD-11 MMS 2024-01 Biomedicine,MH12.0,related-to,85.97,nABi-marmaviddhaH,Instantaneous death,hin_Deva,nABi-marmaviddhaH. the disorder is characterized by sadyomaraṇam [ instantaneous death ],98.05
NAMASTE-Ayurveda,LD-2.4,ICD-11 MMS 2024-01 Biomedicine,MH12.0,related-to,85.93,hRudaya--marmaviddhaH,Instantaneous death,hin_Deva,hRudaya--marmaviddhaH. the disorder is characterized by sadyomaraṇam [ instantaneous death ].,98.12
NAMASTE-Ayurveda,LD-3.12,ICD-11 MMS 2024-01 Biomedicine,MH12.0,related-to,86.06,SRuMgATaka-marmaviddhaH,Instantaneous death,hin_Deva,SRuMgATaka-marmaviddhaH. the disorder is characterized by sadyomaraṇam [ instantaneous death ].,98.19
NAMASTE-Ayurveda,LD-3.13,ICD-11 MMS 2024-01 Biomedicine,MH12.0,related-to,85.7,sImanta-marmaviddhaH,Instantaneous death,hin_Deva,sImanta-marmaviddhaH.the disorder is characterized by sadymaraṇam [ instantaneous death,86.03
NAMASTE-Ayurveda,LD-3.14,ICD-11 MMS 2024-01 Biomedicine,MH12.0,related-to,85.47,adhipati-marmaviddhaH,Instantaneous death,hin_Deva,adhipati-marmaviddhaH. the disorder is characterized by sadyomaraṇam [ instantaneous death ],98.14
NAMASTE-Ayurveda,LD-3.8,ICD-11 MMS 2024-01 Biomedicine,9D90.6,related-to,86.35,Avarta-marmaviddhaH,Blindness,hin_Deva,Avarta-marmaviddhaH.the disorder is characterized by āndhyam [ blindness,96.52
NAMASTE-Ayurveda,LD-3.9,ICD-11 MMS 2024-01 Biomedicine,MH12.0,related-to,85.33,SaMkhamarmaviddhaH,Instantaneous death,hin_Deva,SaMkhamarmaviddhaH. the disorder is characterized by sadyomaraṇam [ instantaneous death ].,98.08
NAMASTE-Ayurveda,LH-4.2,ICD-11 MMS 2024-01 Biomedicine,ME01,related-to,86.69,annavahasrotoviddhaH,Abdominal distension,hin_Deva,annavahasrotoviddhaH.the disorder is characterized by ādhmāna mā [ abdominal distension  annadvēṣaḥ ] aversion to food  chardiḥ [ vomiting  andhatā ] blindness  la [ pain,92.36
NAMASTE-Ayurveda,MD-19,ICD-11 MMS 2024-01 Biomedicine,ME05.0,related-to,86.53,bAla-koShTharuk,Constipation,hin_Deva,bAla-koShTharuk.the disorder is characterized by vibandhaḥ [ constipation,92.56
NAMASTE-Ayurveda,O-3 (SP9Y),ICD-11 MMS 2024-01 Biomedicine,XA0D34,related-to,84.24,anuSayI,Anus,hin_Deva,anusayI,100.0
NAMASTE-Ayurveda,O-46.6,ICD-11 MMS 2024-01 Biomedicine,XS2E,related-to,85.44,vAtapittaja/visPoTaH,Severe pain,hin_Deva,vAtapittaja / VisPoTaH. the disorder is characterized by tvravēdanām [ severe pain ],98.91
NAMASTE-Ayurveda,PC-4,ICD-11 MMS 2024-01 Biomedicine,ME01,related-to,86.36,puShpa-viShaH,Abdominal distension,hin_Deva,puShpa-viShaH. the disorder is characterized by chardiḥ [ vomiting ādhmānaḥ ] [ abdominal distension mōhaḥ ] [ confusion/delirium ādharī ],94.67
NAMASTE-Ayurveda,PE-3.1,ICD-11 MMS 2024-01 Biomedicine,SC62,related-to,80.19,alarkaviShaH/jalatrAsaH,Numbness disorder (TM1),hin_Deva,The disorder is characterized by suptaḥ [ numbness,86.9
NAMASTE-Ayurveda,SI-1.10,ICD-11 MMS 2024-01 Biomedicine,MG43.7,related-to,75.46,a~ggArti-bastivyApad,Anorexia is a pathological lack or loss of appetite.,hin_Deva,a,75.37
NAMASTE-Ayurveda,SI-3.3.3,ICD-11 MMS 2024-01 Biomedicine,ME01,related-to,85.84,arSasasya anuvAsanavyApadaH,Abdominal distension,hin_Deva,arSasasya anuvAsanavyApadaH. the disorder is characterized by arśā ́ si abhiṣyandya ādhmaṇa ̄ kuryāt [ stickiness in the piles leading to abdominal distension ].,96.69
NAMASTE-Ayurveda,SM1J (GC-3),ICD-11 MMS 2024-01 Biomedicine,XE7QR,related-to,86.85,dantaharShaH,Increased sensitivity,hin_Deva,DantaharShaH.It is characterized by increased sensitivity of teeth \ loss of upper most covering.This may be explained by : ( a ) Vitiated vatadosha affecting the teeth.,97.83
NAMASTE-Ayurveda,SN12 (EL-2.12),ICD-11 MMS 2024-01 Biomedicine,JA00.0,related-to,76.89,jAtaghnI/putraghnI,Spontaneous abortion,hin_Deva,jAtaghnI / putraghnI.It is characterized by three or more consecutive spontaneous abortions.This may be explained by : ( a ) Vitiated Vata affecting the uterus.,97.92
NAMASTE-Ayurveda,SR-5,ICD-11 MMS 2024-01 Biomedicine,ME01,related-to,87.02,parihArakAle ajIrNAdhyaSana,Abdominal distension,hin_Deva,parihArakAle ajIrNadhyaSana. the disorder is characterized by mukhaṣōṣaḥ [ dryness of mouth ādhmānaḥ ] [ abdominal distension śulaḥ ] [ colicky pain in the abdomen ā n,89.73
