source_system,source_code,target_system,target_code,mapping_type,confidence,source_display,target_display,src_lang,translated_text,backtranslation_similarity
NAMASTE-Unani,1154,ICD-11 Traditional Medicine Module 2,SB74,related-to,76.32,1153,Gangrene disorder (TM1),urd_Arab,1153.Gangrene,100.0
NAMASTE-Unani,1214,ICD-11 Traditional Medicine Module 2,SB7A,related-to,78.02,1213,"Snake-shaped herpes zoster, herpes zoster around the waist and hypochondria (TM1)",urd_Arab,1213.Herpes zoster,100.0
NAMASTE-Unani,1219,ICD-11 Traditional Medicine Module 2,SB31,related-to,76.32,1218,Impetigo disorder (TM1),urd_Arab,1218.Impetigo,100.0
NAMASTE-Unani,1223,ICD-11 Traditional Medicine Module 2,SB70,related-to,76.26,1222,Headed carbuncle disorder (TM1),urd_Arab,1222.Carbuncle,100.0
NAMASTE-Unani,155,ICD-11 Traditional Medicine Module 2,SC62,related-to,78.04,154,Numbness disorder (TM1),urd_Arab,154.Numbness,100.0
NAMASTE-Unani,1714,ICD-11 Traditional Medicine Module 2,SF99,related-to,75.29,1714,Blood and heat accumulation in the uterus pattern (TM1),urd_Arab,1714.producing heat in the uterus,100.0
NAMASTE-Unani,178,ICD-11 Traditional Medicine Module 2,SC74,related-to,81.36,177,Corneal opacity disorder (TM1),urd_Arab,177.Corneal opacity,100.0
NAMASTE-Unani,1806,ICD-11 Traditional Medicine Module 2,SF55,related-to,79.36,1807,Pattern of liver blood stasis and stagnation (TM1),urd_Arab,1807. stasis of blood,100.0
NAMASTE-Unani,214,ICD-11 Traditional Medicine Module 2,SC71,related-to,80.45,213,Wind glaucoma disorder (TM1),urd_Arab,213.Glaucoma,100.0
NAMASTE-Unani,2141,ICD-11 Traditional Medicine Module 2,SC70,related-to,77.68,2142,Night blindness disorder (TM1),urd_Arab,2142. blindness,100.0
NAMASTE-Unani,22,ICD-11 Traditional Medicine Module 2,SB77,related-to,81.38,21,Erysipelas disorder (TM1),urd_Arab,21.Erysipelas,100.0
NAMASTE-Unani,2232,ICD-11 Traditional Medicine Module 2,SA01,related-to,77.69,2233,Acute jaundice,urd_Arab,2233. obstructive jaundice,100.0
NAMASTE-Unani,2376,ICD-11 Traditional Medicine Module 2,SB61,related-to,76.68,2377,Anal abscess disorder (TM1),urd_Arab,2377.Abscess,100.0
NAMASTE-Unani,2404,ICD-11 Traditional Medicine Module 2,SG63,related-to,78.52,2405,Early yin stage pattern (TM1),urd_Arab,2405.Pattern of disorders in the early stage of pregnancy,91.65
NAMASTE-Unani,3,ICD-11 Traditional Medicine Module 2,SB06,related-to,84.21,2,Edema disorders (TM1),urd_Arab,2.Disorders,100.0
NAMASTE-Unani,313,ICD-11 Traditional Medicine Module 2,SC90,related-to,82.98,312,Allergic rhinitis disorder (TM1),urd_Arab,312. allergic rhinitis,100.0
NAMASTE-Unani,314,ICD-11 Traditional Medicine Module 2,SC90,related-to,77.18,313,Allergic rhinitis disorder (TM1),urd_Arab,313.Rhinitis,100.0
NAMASTE-Unani,319,ICD-11 Traditional Medicine Module 2,SC91,related-to,78.62,318,Nasal sinusitis disorder (TM1),urd_Arab,318.Sinusitis,100.0
NAMASTE-Unani,32,ICD-11 Traditional Medicine Module 2,SD84,related-to,79.96,31,Insomnia disorder (TM1),urd_Arab,31.Insomnia,100.0
NAMASTE-Unani,402,ICD-11 Traditional Medicine Module 2,SC93,related-to,80.65,401,Tonsillitis disorder (TM1),urd_Arab,401. tonsillitis,100.0
NAMASTE-Unani,41,ICD-11 Traditional Medicine Module 2,SD86,related-to,79.96,40,Dementia disorder (TM1),urd_Arab,40.Dementia,100.0
NAMASTE-Unani,417,ICD-11 Traditional Medicine Module 2,SA50,related-to,78.6,416,Dysphagia disorder (TM1),urd_Arab,416.Dysphagia,100.0
NAMASTE-Unani,510,ICD-11 Traditional Medicine Module 2,SA10,related-to,80.45,509,Fright palpitation disorder (TM1),urd_Arab,509.Palpitation,100.0
NAMASTE-Unani,518,ICD-11 Traditional Medicine Module 2,SD40,related-to,79.53,517,Qi syncope disorder (TM1),urd_Arab,517.Syncope,100.0
NAMASTE-Unani,539,ICD-11 Traditional Medicine Module 2,SA10,related-to,80.45,538,Fright palpitation disorder (TM1),urd_Arab,538.Palpitation,100.0
NAMASTE-Unani,6,ICD-11 Traditional Medicine Module 2,SD10,related-to,82.15,5,Migraine disorder (TM1),urd_Arab,5.Migraine,100.0
NAMASTE-Unani,673,ICD-11 Traditional Medicine Module 2,SA04,related-to,81.7,672,Liver abscess disorder (TM1),urd_Arab,672.Liver abscess,100.0
NAMASTE-Unani,678,ICD-11 Traditional Medicine Module 2,SB06.1,related-to,75.21,677,Wind edema disorder (TM1),urd_Arab,677.Oedema,100.0
NAMASTE-Unani,682,ICD-11 Traditional Medicine Module 2,SA01,related-to,78.04,681,Jaundice disorder (TM1),urd_Arab,681.Jaundice,100.0
NAMASTE-Unani,725,ICD-11 Traditional Medicine Module 2,SA56,related-to,78.6,724,Dysentery disorder (TM1),urd_Arab,724.Dysentery,100.0
NAMASTE-Unani,749,ICD-11 Traditional Medicine Module 2,SF8E,related-to,83.17,748,Lung dryness with intestinal obstruction pattern (TM1),urd_Arab,748.Intestinal obstruction,100.0
NAMASTE-Unani,752,ICD-11 Traditional Medicine Module 2,SF8E,related-to,79.29,751,Lung dryness with intestinal obstruction pattern (TM1),urd_Arab,751.Dynamic intestinal obstruction,100.0
NAMASTE-Unani,753,ICD-11 Traditional Medicine Module 2,SA57,related-to,80.95,752,Constipation disorder (TM1),urd_Arab,752.Constipation,100.0
NAMASTE-Unani,812,ICD-11 Traditional Medicine Module 2,SB08,related-to,84.5,811,Premature ejaculation disorder (TM1),urd_Arab,811.Premature ejaculation,100.0
NAMASTE-Unani,A-13,ICD-11 Traditional Medicine Module 2,SD84,related-to,76.3,Sahar,Insomnia disorder (TM1),urd_Arab,Sahar.Insomnia,100.0
NAMASTE-Unani,A-17,ICD-11 Traditional Medicine Module 2,SD86,related-to,76.42,Ḥumq,Aged dementia disorders (TM1),urd_Arab,Ḥumq. dementia,100.0
NAMASTE-Unani,B-37,ICD-11 Traditional Medicine Module 2,SC70,related-to,75.26,Shabkorī/‘Ashā’,Night blindness disorder (TM1),urd_Arab,Shabkorī / Śaṃgavāśa.Night blindness / Nyctalopia,91.89
NAMASTE-Unani,E-2,ICD-11 Traditional Medicine Module 2,SA10,related-to,75.28,Khafaqān,Fright palpitation disorder (TM1),urd_Arab,Khafaqān.Palpitation,100.0
NAMASTE-Unani,E-3,ICD-11 Traditional Medicine Module 2,SD40,related-to,75.57,Ghashī,Hunger syncope disorder (TM1),urd_Arab,Ghash.Syncope,96.75
NAMASTE-Unani,F-70,ICD-11 Traditional Medicine Module 2,SA01,related-to,82.03,Yarqān Aṣfar,Yin jaundice,urd_Arab,Yarqan Aṣfar.Jaundice,100.0
NAMASTE-Unani,O-2.1.1,ICD-11 Traditional Medicine Module 2,SD87,related-to,75.57,Nār,Repressed fire disorder (TM1),urd_Arab,Nr. Fire,93.92
